"","housenumber","street","city","state","zip","country"
"610","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"611","House Number Not Found","Street Not Found","Mau","Uttar Pradesh","275101","India"
"612","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"613","54","Sycamore Crescent","Lackenby","England","TS6 0DP","United Kingdom"
"614","House Number Not Found","Street Not Found","City Not Found","Wisconsin","53580","United States of America"
"615","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"616","House Number Not Found","Street Not Found","Matsue","Shimane Prefecture","684-0004","Japan"
"617","House Number Not Found","Street Not Found","Mike","Transdanubia","7512","Hungary"
"618","House Number Not Found","Street Not Found","Grad Lobor","State Not Found","49253","Croatia"
"619","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"620","House Number Not Found","Street Not Found","Hopewell","Arkansas","72137","United States of America"
"621","House Number Not Found","Street Not Found","Nagoya","Aichi Prefecture","457-0822","Japan"
"622","House Number Not Found","Street Not Found","Mineo","Sicily","95044","Italy"
"623","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"624","House Number Not Found","Street Not Found","Sopron","Transdanubia","9400","Hungary"
"625","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"626","House Number Not Found","Street Not Found","Biksti","Zemgale","Postcode Not Found","Latvia"
"627","1813","Hyevegen","Hyen","Sogn og Fjordane","6829","Norway"
"628","House Number Not Found","Street Not Found","Mociu","Cluj","407428","Romania"
"629","House Number Not Found","Street Not Found","Modoc","Kansas","67871","United States of America"
"630","148","Ingahape Road","City Not Found","Taranaki","4672","New Zealand"
"631","House Number Not Found","Street Not Found","Molina de Segura","Region of Murcia","30509","Spain"
"632","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"633","House Number Not Found","Street Not Found","City Not Found","Texas","Postcode Not Found","United States of America"
"634","House Number Not Found","Street Not Found","Cabarrus","North Carolina","28107","United States of America"
"635","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"636","House Number Not Found","Via Roma","Pollenza","Marche","Postcode Not Found","Italy"
"637","House Number Not Found","Street Not Found","Tréville","Occitania","11400","France"
"638","House Number Not Found","Street Not Found","Thoury","Centre-Loire Valley","41220","France"
"639","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"640","House Number Not Found","Street Not Found","City Not Found","North Carolina","Postcode Not Found","United States of America"
"641","House Number Not Found","Street Not Found","The Municipal District of Cahir — Cashel","State Not Found","Postcode Not Found","Ireland"
"642","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"643","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"644","253","Street Not Found","Morávka","Moravia-Silesia","73904","Czech Republic"
"645","House Number Not Found","Street Not Found","Mornans","Auvergne-Rhône-Alpes","26460","France"
"646","House Number Not Found","Street Not Found","Dilling","Østfold","1596","Norway"
"647","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"648","House Number Not Found","Street Not Found","Villanova Monferrato","Piemont","13010","Italy"
"649","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"650","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"651","House Number Not Found","Street Not Found","Guillaumes","Provence-Alpes-Côte d'Azur","06470","France"
"652","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"653","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"654","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"655","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"656","House Number Not Found","Street Not Found","Murchison","Victoria","3610","Australia"
"657","House Number Not Found","Street Not Found","Hamlin","Kentucky","42046","United States of America"
"658","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"659","House Number Not Found","Street Not Found","Ahmedabad","Gujarat","382345","India"
"660","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"661","House Number Not Found","Street Not Found","Nagai","Yamagata Prefecture","993-0014","Japan"
"662","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"663","House Number Not Found","stará cesta","District of Liptovský Mikuláš","Region of Žilina","032 23","Slovakia"
"664","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"665","House Number Not Found","Street Not Found","Nakhon Pathom","Nakhon Pathom Province","73000","Thailand"
"666","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"667","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"668","House Number Not Found","Street Not Found","Hickory Hill","Maryland","20662","United States of America"
"669","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"670","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"671","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"672","House Number Not Found","Arygle Street","Sydney","New South Wales","2570","Australia"
"673","House Number Not Found","Strada dei Tre Ponti","Narni","Umbria","05035","Italy"
"674","House Number Not Found","Street Not Found","La Foa","State Not Found","98880","France"
"675","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"676","House Number Not Found","Street Not Found","Nomi","Ishikawa Prefecture","929-0113","Japan"
"677","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"678","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"679","House Number Not Found","Street Not Found","City Not Found","Courland","LV-3434","Latvia"
"680","House Number Not Found","Bleckenaustraße","Schwangau","Bavaria","87645","Germany"
"681","House Number Not Found","Street Not Found","New Concord","Ohio","43762","United States of America"
"682","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"683","House Number Not Found","Street Not Found","New Orleans","Louisiana","70125","United States of America"
"684","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"685","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"686","House Number Not Found","Street Not Found","Coutances","Normandy","50200","France"
"687","9","<U+042E><U+0436><U+043D><U+0430><U+044F> <U+0443><U+043B><U+0438><U+0446><U+0430>","<U+041D><U+0438><U+043A><U+043E><U+043B><U+0430><U+0435><U+0432><U+043A><U+0430>","Pavlodar Region","Postcode Not Found","Kazakhstan"
"688","House Number Not Found","<U+041C><U+0430><U+0441><U+0442><U+0435><U+0440> 15 <U+043A><U+043C>","City Not Found","Moscow Oblast","141895","Russia"
"689","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"690","House Number Not Found","Street Not Found","City Not Found","Shaanxi","723000","China"
"691","House Number Not Found","Street Not Found","Yamaguchi","Yamaguchi Prefecture","Postcode Not Found","Japan"
"692","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"693","House Number Not Found","Street Not Found","Winslow Hill","Maine","04555","United States of America"
"694","House Number Not Found","Street Not Found","Noblesville","Indiana","46062","United States of America"
"695","House Number Not Found","<U+7530><U+5DDD><U+76F4><U+65B9><U+7DDA>","Noogata","Fukuoka Prefecture","807-1313","Japan"
"696","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"697","House Number Not Found","Street Not Found","Norfork Village","Arkansas","72653:72658","United States of America"
"698","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"699","House Number Not Found","Street Not Found","Noventa Vicentina","Veneto","36025","Italy"
"700","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"701","19","<U+0443><U+043B><U+0438><U+0446><U+0430> <U+0414><U+0435><U+0440><U+0436><U+0430><U+0432><U+0438><U+043D><U+0430>","Veliky Novgorod","Novgorod Oblast","173020","Russia"
"702","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"703","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"704","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"705","House Number Not Found","Street Not Found","Bell-lloc d'Urgell","Catalonia","Postcode Not Found","Spain"
"706","House Number Not Found","<U+7F8E><U+5504><U+5BCC><U+826F><U+91CE><U+7DDA>","Bibai","Hokkaido Prefecture","Postcode Not Found","Japan"
"707","House Number Not Found","Lanmadaw 1 Road","Nyaung-U Township","Mandalay","10511","Myanmar"
"708","House Number Not Found","Rákóczi utca","Nyírábrány","Great Plain and North","4264","Hungary"
"709","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"710","44","Bramscher Straße","Osnabrück","Lower Saxony","49088","Germany"
"711","House Number Not Found","Street Not Found","City Not Found","State Not Found","94634","Estonia"
"712","House Number Not Found","Street Not Found","Máriapócs","Great Plain and North","4326","Hungary"
"713","House Number Not Found","<U+5C0F><U+57CE><U+725B><U+6D25><U+7DDA>","Ogi","Saga Prefecture","8450021","Japan"
"714","House Number Not Found","Street Not Found","Alba Iulia","Alba","510146","Romania"
"715","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"716","House Number Not Found","Street Not Found","Fuente Obejuna","Andalusia","Postcode Not Found","Spain"
"717","House Number Not Found","<U+718A><U+8C37><U+5150><U+7389><U+7DDA>","Misato","Saitama Prefecture","367-0102","Japan"
"718","House Number Not Found","<U+672C><U+90F7><U+6771><U+6D5C><U+8C37><U+7DDA>","Tambasasayama","Hyogo Prefecture","669-2341","Japan"
"719","House Number Not Found","Street Not Found","<U+0411><U+043E><U+0440><U+043E><U+0445><U+0456><U+0432><U+0441><U+044C><U+043A><U+0430> <U+0441><U+0456><U+043B><U+044C><U+0441><U+044C><U+043A><U+0430> <U+0440><U+0430><U+0434><U+0430>","Volyn Oblast","45245","Ukraine"
"720","House Number Not Found","Bisseler Straße","Großenkneten","Lower Saxony","26197","Germany"
"721","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"722","House Number Not Found","Street Not Found","Olivenza","Extremadura","06100","Spain"
"723","House Number Not Found","Street Not Found","Alarcón","Castile-La Mancha","16214","Spain"
"724","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"725","House Number Not Found","Street Not Found","Orgueil","Occitania","82370","France"
"726","House Number Not Found","Street Not Found","Orlando","Florida","32803-4806","United States of America"
"727","2A","Rue Saint-Georges","Ornans","Bourgogne-Franche-Comté","25290","France"
"728","House Number Not Found","Street Not Found","Durbach","Baden-Württemberg","77770","Germany"
"729","House Number Not Found","Street Not Found","Orvinio","Lazio","Postcode Not Found","Italy"
"730","House Number Not Found","Gamle Kragerøvei","Kragerø","Telemark","3770","Norway"
"731","House Number Not Found","Street Not Found","Tendo","Yamagata Prefecture","999-3511","Japan"
"732","House Number Not Found","Street Not Found","Imes","Kansas","66079","United States of America"
"733","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"734","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"735","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"736","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"737","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"738","House Number Not Found","Street Not Found","Oviedo","Asturias","33424","Spain"
"739","House Number Not Found","Street Not Found","Ovruch","Zhytomyr Oblast","11101","Ukraine"
"740","House Number Not Found","Street Not Found","Pacula","Hidalgo","Postcode Not Found","Mexico"
"741","House Number Not Found","Street Not Found","City Not Found","Utena County","29330","Lithuania"
"742","House Number Not Found","Manila North Road","Cabugao","Ilocos Sur","2732","Philippines"
"743","House Number Not Found","Street Not Found","Clarkburg","Mississippi","Postcode Not Found","United States of America"
"744","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"745","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"746","House Number Not Found","Street Not Found","Dodge City","Missouri","63461","United States of America"
"747","House Number Not Found","Street Not Found","Honolulu","Hawaii","96848","United States of America"
"748","House Number Not Found","Street Not Found","San Fernando","Pampanga","2015","Philippines"
"749","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"750","House Number Not Found","Street Not Found","Paragould","Arkansas","72450","United States of America"
"751","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"752","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"753","House Number Not Found","Street Not Found","Park Forest","Illinois","60466","United States of America"
"754","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"755","House Number Not Found","Street Not Found","Muzaffarpur","Bihar","842001","India"
"756","House Number Not Found","Street Not Found","City Not Found","New Mexico","Postcode Not Found","United States of America"
"757","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"758","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"759","House Number Not Found","Street Not Found","Patti","Sicily","98066","Italy"
"760","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"761","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"762","House Number Not Found","Street Not Found","Pavlodar","Pavlodar Region","14006","Kazakhstan"
"763","House Number Not Found","<U+041F><U+043E><U+043F><U+043E><U+0432><U+0430> <U+0432><U+0443><U+043B><U+0438><U+0446><U+044F>","City Not Found","Dnipropetrovsk Oblast","51411","Ukraine"
"764","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"765","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"766","House Number Not Found","Street Not Found","Brownvale","Alberta","T0H 0E0","Canada"
"767","House Number Not Found","Street Not Found","Brakel","North Rhine-Westphalia","33034","Germany"
"768","House Number Not Found","Smith Street","Peekskill","New York","10566","United States of America"
"769","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"770","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"771","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"772","5A","Crieff Road","Perth","Scotland","PH1 5AF","United Kingdom"
"773","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"774","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"775","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"776","House Number Not Found","Street Not Found","Bidwell","Tennessee","37144","United States of America"
"777","House Number Not Found","Street Not Found","The Municipal District of Mullingar — Kinnegad","State Not Found","N91 P9D2","Ireland"
"778","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"779","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"780","House Number Not Found","Street Not Found","Tonle Bet","Tbong Khmum","3000","Cambodia"
"781","House Number Not Found","Street Not Found","Ð<U+1EA1>i Phong","Quang Nam Province","Postcode Not Found","Vietnam"
"782","23","Via Cavulla","Fontanelice","Emilia-Romagna","40025","Italy"
"783","House Number Not Found","Street Not Found","Muga de Sayago","Castile and León","Postcode Not Found","Spain"
"784","House Number Not Found","Street Not Found","Pilistvere","State Not Found","70501","Estonia"
"785","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"786","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"787","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"788","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"789","House Number Not Found","Street Not Found","City Not Found","Georgia","31072","United States of America"
"790","House Number Not Found","Street Not Found","City Not Found","Texas","77861","United States of America"
"791","House Number Not Found","Street Not Found","Buzau","Buzau","127043","Romania"
"792","House Number Not Found","Street Not Found","Litomerice","Northwest","41201","Czech Republic"
"793","House Number Not Found","Nokor Reach (Street 80)","Boeung Kak Community","Phnom Penh","12202","Cambodia"
"794","House Number Not Found","Cretzschwitz","Gera","Thuringia","07554","Germany"
"795","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"796","61","Snefjellåveien","City Not Found","Nordland","8616","Norway"
"797","House Number Not Found","Garth Estate","Pontllyfni","Wales","LL54 5ES","United Kingdom"
"798","House Number Not Found","Street Not Found","City Not Found","New Mexico","88130","United States of America"
"799","House Number Not Found","Street Not Found","Nossa Senhora da Tourega e Nossa Senhora de Guadalupe","Alentejo","7000-223","Portugal"
"800","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"801","2","Street Not Found","Gstocket","Upper Austria","4070","Austria"
"802","16","Street Not Found","Príbram","Central Bohemia","26101","Czech Republic"
"803","House Number Not Found","Street Not Found","Harwood","Ohio","45717","United States of America"
"804","House Number Not Found","Street Not Found","Camuñas","Castile-La Mancha","13650","Spain"
"805","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"806","12","Street Not Found","Gostkowo","Masovian Voivodeship","07-215","Poland"
"807","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"808","House Number Not Found","Street Not Found","Jacuizinho","Rio Grande do Sul","Postcode Not Found","Brazil"
"809","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"810","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"811","House Number Not Found","Street Not Found","Qacha's Nek","State Not Found","600","Lesotho"
"812","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"813","House Number Not Found","Street Not Found","Anna","Valencian Community","46810","Spain"
"814","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"815","House Number Not Found","Street Not Found","Quinçay","New Aquitaine","86190","France"
"816","House Number Not Found","Street Not Found","Raco","Tucumán","T4103","Argentina"
"817","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"818","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"819","78","<U+0443><U+043B><U+0438><U+0446><U+0430> <U+041A><U+0430><U+0440><U+043B><U+0430> <U+041C><U+0430><U+0440><U+043A><U+0441><U+0430>","<U+0433><U+043E><U+0440><U+043E><U+0434><U+0441><U+043A><U+043E><U+0435> <U+043F><U+043E><U+0441><U+0435><U+043B><U+0435><U+043D><U+0438><U+0435> <U+041D><U+043E><U+0432><U+043E><U+0441><U+0438><U+043B><U+044C>","Oryol Oblast","303500","Russia"
"820","House Number Not Found","Street Not Found","City Not Found","Uttar Pradesh","Postcode Not Found","India"
"821","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"822","11,13","An der Becke","Velen","North Rhine-Westphalia","46342","Germany"
"823","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"824","House Number Not Found","Street Not Found","Zinapécuaro de Figueroa","Michoacán","61250","Mexico"
"825","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"826","House Number Not Found","Street Not Found","City Not Found","Hebei","053900","China"
"827","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"828","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"829","92","Street Not Found","Ratyn","Greater Poland Voivodeship","62-406","Poland"
"830","House Number Not Found","Street Not Found","City Not Found","California","Postcode Not Found","United States of America"
"831","House Number Not Found","Street Not Found","Santas Martas","Castile and León","24339","Spain"
"832","House Number Not Found","Street Not Found","City Not Found","Central Java","59219","Indonesia"
"833","47","Via Carlo Francesco Dotti","Cento","Emilia-Romagna","44045","Italy"
"834","House Number Not Found","Street Not Found","Tilisarao","San Luis","Postcode Not Found","Argentina"
"835","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"836","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"837","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"838","House Number Not Found","Street Not Found","City Not Found","Haryana","123401","India"
"839","House Number Not Found","Street Not Found","City Not Found","North Carolina","Postcode Not Found","United States of America"
"840","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"841","House Number Not Found","Street Not Found","Richardton","North Dakota","Postcode Not Found","United States of America"
"842","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"843","House Number Not Found","Street Not Found","Richmond City","Virginia","23224","United States of America"
"844","House Number Not Found","Rua Coronel Nicolau Bley Neto","Rio Negro","Paraná","89300-000","Brazil"
"845","House Number Not Found","Street Not Found","Rivolta d'Adda","Lombardy","26027","Italy"
"846","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"847","House Number Not Found","George Street","Rockhampton","Queensland","4700","Australia"
"848","House Number Not Found","Street Not Found","City Not Found","Aragon","22482","Spain"
"849","House Number Not Found","Street Not Found","Bad Rodach","Bavaria","96476","Germany"
"850","House Number Not Found","Street Not Found","City Not Found","Michigan","Postcode Not Found","United States of America"
"851","House Number Not Found","Street Not Found","City Not Found","England","TF6 6JX","United Kingdom"
"852","House Number Not Found","Street Not Found","Nemba","Northern Province","Postcode Not Found","Rwanda"
"853","House Number Not Found","Street Not Found","City Not Found","Laikipia","Postcode Not Found","Kenya"
"854","House Number Not Found","Street Not Found","Nachingwea","Lindi","Postcode Not Found","Tanzania"
"855","House Number Not Found","Street Not Found","Richky","Sumy Oblast","41832","Ukraine"
"856","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"857","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"858","35","Street Not Found","Dabrowa Luzycka","Lubusz Voivodeship","68-132","Poland"
"859","House Number Not Found","Street Not Found","Lespinasse","Occitania","31150","France"
"860","House Number Not Found","Street Not Found","Saint-Séverin","New Aquitaine","16390","France"
"861","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"862","House Number Not Found","Fire Protection Way","Chemawa","Oregon","97309","United States of America"
"863","House Number Not Found","Street Not Found","Saint-Étienne-des-Oullières","Auvergne-Rhône-Alpes","69460","France"
"864","House Number Not Found","Street Not Found","Kuhfelde","Saxony-Anhalt","29416","Germany"
"865","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"866","House Number Not Found","Street Not Found","San Juan Capistrano","California","92675","United States of America"
"867","House Number Not Found","Street Not Found","City Not Found","Marche","Postcode Not Found","Italy"
"868","House Number Not Found","Street Not Found","Punitaqui","Coquimbo Region","1890000","Chile"
"869","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"870","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"871","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"872","House Number Not Found","Street Not Found","Santa Isabel","Santa Fe","S4200","Argentina"
"873","House Number Not Found","Street Not Found","Santa Lucía","San Juan","5411","Argentina"
"874","House Number Not Found","Street Not Found","São José do Rio Preto","São Paulo","15010-070","Brazil"
"875","House Number Not Found","Street Not Found","<U+0411><U+043E><U+043B><U+044C><U+0448><U+0435><U+043E><U+0437><U+0435><U+0440><U+0441><U+043A><U+043E><U+0435> <U+0441><U+0435><U+043B><U+044C><U+0441><U+043A><U+043E><U+0435> <U+043F><U+043E><U+0441><U+0435><U+043B><U+0435><U+043D><U+0438><U+0435>","Saratov Oblast","Postcode Not Found","Russia"
"876","House Number Not Found","<U+4E2D><U+91CE><U+5B50><U+5B89><U+7DDA> (<U+65E7><U+6771><U+6D77><U+9053>)","Hamamatsu","Shizuoka Prefecture","435-0042","Japan"
"877","House Number Not Found","Street Not Found","Trois-Villes","New Aquitaine","64470","France"
"878","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"879","House Number Not Found","<U+9BE8><U+4E95><U+72ED><U+5C71><U+7DDA>","Sayama","Saitama Prefecture","350-1320","Japan"
"880","House Number Not Found","Street Not Found","Sazovice","Central Moravia","76301","Czech Republic"
"881","House Number Not Found","Street Not Found","Stargard","West Pomeranian Voivodeship","73-100","Poland"
"882","House Number Not Found","Street Not Found","Stoodley Corners","New York","12302","United States of America"
"883","House Number Not Found","Street Not Found","Salgen","Bavaria","87775","Germany"
"884","House Number Not Found","Street Not Found","City Not Found","Maine","04973","United States of America"
"885","House Number Not Found","Street Not Found","Yukari Seydiköy","Izmir","35410","Turkey"
"886","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"887","House Number Not Found","Street Not Found","Bandung","West Java","40252","Indonesia"
"888","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"889","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"890","House Number Not Found","Avenida de Huesca","Sena","Aragon","22231","Spain"
"891","House Number Not Found","omagari bypass","Daisen","Akita Prefecture","0140047","Japan"
"892","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"893","House Number Not Found","S<U+03AD><U+03C1><U+03C1>e<U+03C2> - <U+03A0>e<U+03B8>e<U+03BB><U+03B9><U+03BD><U+03CC><U+03C2>","City Not Found","Macedonia - Thrace","62124","Greece"
"894","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"895","House Number Not Found","Street Not Found","Sete Lagoas","Minas Gerais","35700-184","Brazil"
"896","House Number Not Found","Street Not Found","Seville","Andalusia","41092","Spain"
"897","House Number Not Found","Street Not Found","Belgorod","Belgorod Oblast","308001","Russia"
"898","House Number Not Found","Street Not Found","Sfax","Sfax","3013","Tunisia"
"899","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"900","House Number Not Found","Street Not Found","City Not Found","Virginia","22548","United States of America"
"901","House Number Not Found","Street Not Found","Amaranth","Ontario","L0N 1S4","Canada"
"902","House Number Not Found","Street Not Found","Gaya","Bihar","823001","India"
"903","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"904","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"905","House Number Not Found","Street Not Found","Changchun City","Jilin","130600","China"
"906","House Number Not Found","Street Not Found","Shopian","Jammu and Kashmir","192303","India"
